"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 03 08:34:05 UTC 2026","Sat Jan 03 08:34:05 UTC 2026","69","Google Chrome","registerWithFixture.spec.ts","","","","Registrations user with csv2",""
"passed","Sat Jan 03 08:34:39 UTC 2026","Sat Jan 03 08:34:47 UTC 2026","7948","Google Chrome","search.spec.ts","","","","verify Dummay product search",""
"failed","Sat Jan 03 08:33:38 UTC 2026","Sat Jan 03 08:33:42 UTC 2026","4274","Google Chrome","productInfo.spec.ts","","","","verify product imgs count for MacBook Air is: 4",""
"passed","Sat Jan 03 08:33:03 UTC 2026","Sat Jan 03 08:33:08 UTC 2026","4835","Google Chrome","loginpage.spec.ts","","","","Verify Valid login @login @sanity",""
"passed","Sat Jan 03 08:33:47 UTC 2026","Sat Jan 03 08:33:52 UTC 2026","4525","Google Chrome","productInfo.spec.ts","","","","veify product price data",""
"failed","Sat Jan 03 08:33:33 UTC 2026","Sat Jan 03 08:33:37 UTC 2026","3887","Google Chrome","productInfo.spec.ts","","","","verify product imgs count for Samsung Galaxy Tab 10.1 is: 7",""
"passed","Sat Jan 03 08:33:56 UTC 2026","Sat Jan 03 08:34:01 UTC 2026","4255","Google Chrome","Register.spec.ts","","","","@register @sanity Verify user able to register Bob user",""
"passed","Sat Jan 03 08:34:01 UTC 2026","Sat Jan 03 08:34:05 UTC 2026","4227","Google Chrome","Register.spec.ts","","","","@register @sanity Verify user able to register Charlie user",""
"passed","Sat Jan 03 08:34:14 UTC 2026","Sat Jan 03 08:34:22 UTC 2026","8156","Google Chrome","search.spec.ts","","","","verify sansung product search",""
"passed","Sat Jan 03 08:34:22 UTC 2026","Sat Jan 03 08:34:30 UTC 2026","8241","Google Chrome","search.spec.ts","","","","verify imac product search",""
"passed","Sat Jan 03 08:33:19 UTC 2026","Sat Jan 03 08:33:23 UTC 2026","4246","Google Chrome","productInfo.spec.ts","","","","verify product header Samsung Galaxy Tab 10.1",""
"passed","Sat Jan 03 08:33:12 UTC 2026","Sat Jan 03 08:33:14 UTC 2026","2804","Google Chrome","loginpage.spec.ts","","","","Verify InValid login message @login @sanity",""
"failed","Sat Jan 03 08:33:28 UTC 2026","Sat Jan 03 08:33:32 UTC 2026","4270","Google Chrome","productInfo.spec.ts","","","","verify product imgs count for MacBook Pro is: 4",""
"passed","Sat Jan 03 08:33:14 UTC 2026","Sat Jan 03 08:33:19 UTC 2026","4661","Google Chrome","productInfo.spec.ts","","","","verify product header MacBook Pro",""
"passed","Sat Jan 03 08:34:06 UTC 2026","Sat Jan 03 08:34:14 UTC 2026","8248","Google Chrome","search.spec.ts","","","","verify macbook product search",""
"passed","Sat Jan 03 08:33:23 UTC 2026","Sat Jan 03 08:33:28 UTC 2026","4461","Google Chrome","productInfo.spec.ts","","","","verify product header MacBook Air",""
"passed","Sat Jan 03 08:33:52 UTC 2026","Sat Jan 03 08:33:56 UTC 2026","4344","Google Chrome","Register.spec.ts","","","","@register @sanity Verify user able to register Alice user",""
"passed","Sat Jan 03 08:33:43 UTC 2026","Sat Jan 03 08:33:47 UTC 2026","4578","Google Chrome","productInfo.spec.ts","","","","veify product metda data",""
"passed","Sat Jan 03 08:34:30 UTC 2026","Sat Jan 03 08:34:39 UTC 2026","8182","Google Chrome","search.spec.ts","","","","verify canon product search",""
